Code,Name,Note,Url1,Url2
424,Failed Dependency,WebDAV,https://datatracker.ietf.org/doc/html/rfc4918#section-11.4,
425,Too Early,RFC,https://datatracker.ietf.org/doc/html/rfc8470#section-5.2,
426,Upgrade Required,RFC,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.15,
428,Precondition Required,RFC,https://datatracker.ietf.org/doc/html/rfc6585#section-3,
429,Too Many Requests,RFC,https://datatracker.ietf.org/doc/html/rfc6585#section-4,
431,Request Header Fields Too Large,RFC,https://datatracker.ietf.org/doc/html/rfc6585#section-5,
451,Unavailable For Legal Reasons,RFC,https://datatracker.ietf.org/doc/html/rfc7725#section-3,
500,Internal Server Error,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.5.1,https://datatracker.ietf.org/doc/html/rfc7231#section-6.6.1
501,Not Implemented,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.5.2,https://datatracker.ietf.org/doc/html/rfc7231#section-6.6.2
502,Bad Gateway,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.5.3,https://datatracker.ietf.org/doc/html/rfc7231#section-6.6.3
503,Service Unavailable,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.5.4,https://datatracker.ietf.org/doc/html/rfc7231#section-6.6.4
504,Gateway Timeout,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.5.5,https://datatracker.ietf.org/doc/html/rfc7231#section-6.6.5
505,HTTP Version Not Supported,RFC,https://datatracker.ietf.org/doc/html/rfc2616#section-10.5.6,https://datatracker.ietf.org/doc/html/rfc7231#section-6.6.6
506,Variant Also Negotiates,RFC,https://datatracker.ietf.org/doc/html/rfc2295#section-8.1,
507,Insufficient Storage,WebDAV,https://datatracker.ietf.org/doc/html/rfc4918#section-11.5,
508,Loop Detected,WebDAV,https://datatracker.ietf.org/doc/html/rfc5842#section-7.2,
510,Not Extended,RFC,https://datatracker.ietf.org/doc/html/rfc2774#section-7,
511,Network Authentication Required,RFC,https://datatracker.ietf.org/doc/html/rfc6585#section-6,
