Code,Name,OldName,Note,Caution,HasMDN,Url1,Url2
417,Expectation Failed,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.4.18,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.14
418,I'm a teapot,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2324#section-2.3.2,https://datatracker.ietf.org/doc/html/rfc7168#section-2.3.3
421,Misdirected Request,,,,FALSE,https://datatracker.ietf.org/doc/html/rfc7540#section-9.1.2,https://datatracker.ietf.org/doc/html/rfc7838#section-6
422,Unprocessable Entity,,WebDAV,,TRUE,https://datatracker.ietf.org/doc/html/rfc2518#section-10.3,https://datatracker.ietf.org/doc/html/rfc4918#section-11.2
423,Locked,,WebDAV,,FALSE,https://datatracker.ietf.org/doc/html/rfc2518#section-10.4,https://datatracker.ietf.org/doc/html/rfc4918#section-11.3
424,Failed Dependency,,WebDAV,,FALSE,https://datatracker.ietf.org/doc/html/rfc2518#section-10.5,https://datatracker.ietf.org/doc/html/rfc4918#section-11.4
425,Too Early,,,This is an experimental technology.,TRUE,https://datatracker.ietf.org/doc/html/rfc8470#section-5.2,
426,Upgrade Required,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.15,
428,Precondition Required,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc6585#section-3,
429,Too Many Requests,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc6585#section-4,
431,Request Header Fields Too Large,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc6585#section-5,
451,Unavailable For Legal Reasons,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc7725#section-3,
,,,,,,,
500,Internal Server Error,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.5.1,https://datatracker.ietf.org/doc/html/rfc7231#section-6.6.1
501,Not Implemented,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.5.2,https://datatracker.ietf.org/doc/html/rfc7231#section-6.6.2
502,Bad Gateway,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.5.3,https://datatracker.ietf.org/doc/html/rfc7231#section-6.6.3
503,Service Unavailable,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.5.4,https://datatracker.ietf.org/doc/html/rfc7231#section-6.6.4
504,Gateway Timeout,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.5.5,https://datatracker.ietf.org/doc/html/rfc7231#section-6.6.5
505,HTTP Version Not Supported,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-10.5.6,https://datatracker.ietf.org/doc/html/rfc7231#section-6.6.6
506,Variant Also Negotiates,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2295#section-8.1,
507,Insufficient Storage,,WebDAV,,TRUE,https://datatracker.ietf.org/doc/html/rfc4918#section-11.5,
508,Loop Detected,,WebDAV,,TRUE,https://datatracker.ietf.org/doc/html/rfc5842#section-7.2,
510,Not Extended,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc2774#section-7,
511,Network Authentication Required,,,,TRUE,https://datatracker.ietf.org/doc/html/rfc6585#section-6,
