Name,Caution,HasMDN,Url1,Url2,Url3
Tk,This feature is no longer recommended.,TRUE,https://www.w3.org/TR/tracking-dnt/#Tk-header-defn,,
Trailer,,TRUE,https://datatracker.ietf.org/doc/html/rfc7230#section-4.1.2,https://datatracker.ietf.org/doc/html/rfc7230#section-4.4,
Transfer-Encoding,,TRUE,https://datatracker.ietf.org/doc/html/rfc7230#section-3.3.1,,
Upgrade,,TRUE,https://datatracker.ietf.org/doc/html/rfc7230#section-6.7,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.15,https://datatracker.ietf.org/doc/html/rfc7540#section-8.1.1
Vary,,TRUE,https://datatracker.ietf.org/doc/html/rfc7231#section-7.1.4,,
Via,,TRUE,https://datatracker.ietf.org/doc/html/rfc7230#section-5.7.1,,
Want-Digest,,TRUE,https://datatracker.ietf.org/doc/html/draft-ietf-httpbis-digest-headers-05#section-4,,
Warning,This feature is no longer recommended.,TRUE,https://datatracker.ietf.org/doc/html/rfc7234#section-5.5,,
WWW-Authenticate,,TRUE,https://datatracker.ietf.org/doc/html/rfc7235#section-4.1,,
X-Content-Type-Options,,TRUE,https://fetch.spec.whatwg.org/#x-content-type-options-header,,
X-DNS-Prefetch-Control,,TRUE,?,,
X-Download-Options,?,FALSE,?,,
X-Frame-Options,,TRUE,https://www.rfc-editor.org/rfc/rfc7034#section-2,,
X-Firefox-Spdy,?,FALSE,?,,
X-Permitted-Cross-Domain-Policies,?,FALSE,?,,
X-Pingback,?,FALSE,?,,
X-Powered-By,?,FALSE,?,,
X-Requested-With,?,FALSE,?,,
X-Robots-Tag,?,FALSE,https://developers.google.com/search/reference/robots_meta_tag#xrobotstag,,
X-UA-Compatible,?,FALSE,?,,
X-XSS-Protection,,TRUE,?,,
