Name,Caution,HasMDN,Url1,Url2,Url3
Sec-Fetch-Site,,TRUE,https://w3c.github.io/webappsec-fetch-metadata/#sec-fetch-site-header,,
Sec-Fetch-User,,TRUE,https://w3c.github.io/webappsec-fetch-metadata/#sec-fetch-user-header,,
Sec-WebSocket-Extensions,?,FALSE,?,,
Sec-WebSocket-Key,?,FALSE,?,,
Sec-WebSocket-Protocol,?,FALSE,?,,
Sec-WebSocket-Version,?,FALSE,?,,
Service-Worker-Allowed,?,FALSE,?,,
Signature,?,FALSE,https://wicg.github.io/webpackage/draft-yasskin-http-origin-signed-responses.html#rfc.section.3.1,,
Signed-Headers,?,FALSE,https://wicg.github.io/webpackage/draft-yasskin-http-origin-signed-responses.html#rfc.section.5.1.2,,
TE,,TRUE,https://datatracker.ietf.org/doc/html/rfc7230#section-4.3,,
Trailer,,TRUE,https://datatracker.ietf.org/doc/html/rfc7230#section-4.1.2,https://datatracker.ietf.org/doc/html/rfc7230#section-4.4,
Transfer-Encoding,,TRUE,https://datatracker.ietf.org/doc/html/rfc7230#section-3.3.1,,
Translate,,,,,
Upgrade,,TRUE,https://datatracker.ietf.org/doc/html/rfc7230#section-6.7,https://datatracker.ietf.org/doc/html/rfc7231#section-6.5.15,https://datatracker.ietf.org/doc/html/rfc7540#section-8.1.1
Upgrade-Insecure-Requests,,TRUE,https://w3c.github.io/webappsec-upgrade-insecure-requests/#preference,,
User-Agent,,TRUE,https://datatracker.ietf.org/doc/html/rfc2616#section-14.43,https://datatracker.ietf.org/doc/html/rfc7231#section-5.5.3,
Via,,TRUE,https://datatracker.ietf.org/doc/html/rfc7230#section-5.7.1,,
Viewport-Width,This feature is no longer recommended.,TRUE,?,,
Want-Digest,,TRUE,https://datatracker.ietf.org/doc/html/draft-ietf-httpbis-digest-headers-05#section-4,,
Warning,This feature is no longer recommended.,TRUE,https://datatracker.ietf.org/doc/html/rfc7234#section-5.5,,
Width,This feature is no longer recommended.,TRUE,?,,
X-Download-Options,?,FALSE,?,,
X-Firefox-Spdy,?,FALSE,?,,
X-Forwarded-For,Not part of any current specification. The standardized version of this header is Forwarded.,TRUE,?,,
X-Forwarded-Host,Not part of any current specification. The standardized version of this header is Forwarded.,TRUE,?,,
X-Forwarded-Proto,Not part of any current specification. The standardized version of this header is Forwarded.,TRUE,?,,
X-Permitted-Cross-Domain-Policies,?,FALSE,?,,
X-Pingback,?,FALSE,?,,
X-Powered-By,?,FALSE,?,,
X-Requested-With,?,FALSE,?,,
X-Robots-Tag,?,FALSE,https://developers.google.com/search/reference/robots_meta_tag#xrobotstag,,
X-UA-Compatible,?,FALSE,?,,
